"","prequal_id","assignment_date"
"1","00081cb5-27bb-428a-bc53-076bacc7ad02",2019-06-22
"2","0136e545-347d-4a3b-b964-0a4561d32567",2019-06-22
"3","0144b69a-f364-4746-8600-f6d7334d8f3f",2019-06-27
"4","020412e9-c946-4252-94cf-85a4aaa75e2e",2019-06-29
"5","02f54404-995d-4eb0-b91b-40f40f68f506",2019-06-19
"6","030b40ec-b018-45a4-b30e-5d0d98a7bd10",2019-06-17
"7","03941340-6ca5-42ed-ab01-8f7f03fe64ec",2019-06-24
"8","03ef4b89-9ebe-4dff-89f5-8cc7c6b510ec",2019-06-23
"9","0113885e-882d-4a0b-890b-9aa996403f29",2019-06-25
"10","05343087-2b0e-48a4-b5bd-216231b4fc97",2019-06-19
"11","05909ccc-bd6c-46e8-8510-673158c5d2b9",2019-06-18
"12","01c52db3-e7c7-49d2-aaef-1a0871090952",2019-06-21
"13","0077f4a9-eb6b-45e7-ab4c-f2cf436f0141",2019-06-23
"14","0119fb54-95d2-4266-bc0d-29fa692c4baa",2019-06-23
"15","02e25f41-aa46-465d-b673-5d8d28a33c7a",2019-06-26
"16","0180c443-9e3b-4550-ac1a-8534969fea1f",2019-06-26
"17","01cfb43b-a72e-4478-bc47-243617fe488d",2019-06-28
"18","01dad4ac-80c0-4cad-9ca6-18689d6ca947",2019-06-20
"19","02678cb4-ddae-4e1a-97fa-fcec34782116",2019-06-18
"20","029b9461-a132-4b6b-8164-31bf6b288491",2019-06-24
"21","00602277-edd9-4951-a448-a7742da0ceaf",2019-06-22
"22","00e55ea2-30b8-4813-95e2-22f8dc23ced3",2019-06-18
"23","0189f0fb-eb53-4364-bfd0-a4db61d3c2bc",2019-06-24
"24","042f76a8-a850-489d-be36-02e2d647d746",2019-06-24
"25","006928af-1f31-4f72-b62a-2ee22657f1c4",2019-06-17
"26","013f5f8e-441a-4df9-b6fa-6136072024ec",2019-06-28
"27","07e5aa94-7324-404f-a7f7-9cbb4b44c174",2019-06-25
"28","0166956c-54b0-4e15-9761-297b996b32fd",2019-06-25
"29","0209df6f-c464-4d1c-a6ad-d8d782281371",2019-06-27
"30","02423d09-49fe-4899-8be8-ab9952f0a50b",2019-06-23
"31","03c1aae1-c734-4765-acc8-bc53aafcf9a3",2019-06-20
"32","004691f3-fa73-43b3-a301-47e889fadc09",2019-06-22
"33","05107ae5-1e82-4359-a7c5-cc6b0c991505",2019-06-19
"34","09eff223-cf5d-4627-8bbf-1b5626be2bed",2019-06-28
"35","01c9698f-9796-43c3-b49d-21ef1ba9129e",2019-06-29
"36","0263b698-8845-4aef-b6c2-610e9e09993f",2019-06-25
"37","00f7110c-dbfd-41d0-9bd5-ff0fcba26f5d",2019-06-20
"38","011506c7-b207-45fe-addd-8fcc4800cc24",2019-06-26
"39","000f4e0a-2b36-4d3c-bd63-e040ae448a5e",2019-06-25
"40","002ba10a-00e2-4b66-b930-f692709eade2",2019-06-23
"41","00e0532b-2b8e-4962-8d7a-fcef2129a7f7",2019-06-23
"42","00ea6c20-6914-41b5-9771-a7af578796de",2019-06-21
"43","011f8daa-3063-47e7-81e6-e231e84655c9",2019-06-18
"44","001bcd02-9585-4150-a55e-617543ee77f6",2019-06-22
"45","02a1840b-0ba4-4073-b802-4fc0acc9ee24",2019-06-22
"46","02e1c1ed-b05d-4d7f-93b8-7266d04a5eca",2019-06-18
"47","03058042-6699-475d-9a75-e9de203d963a",2019-06-28
"48","03d7a3db-a1bf-479d-8175-811b25dd4044",2019-06-30
"49","0079c809-e0ac-4644-ab95-6f9f77f1206b",2019-06-18
"50","00a09161-4818-4b98-90dd-cda6070f3a5e",2019-06-27
"51","01783567-4f29-4026-be2c-0fe22cc9a9ee",2019-06-21
"52","024fd23d-c921-4cc5-a20e-8fc2e86a0a4a",2019-06-25
"53","02754e1f-73a6-4fde-8bf4-afd186f4a1de",2019-06-22
"54","012bed43-97df-41a9-a5ec-abaa45aadf1d",2019-06-25
"55","01e3d61b-c8b0-43a3-b420-e565509b787f",2019-06-18
"56","0202fd05-52ae-4461-9de5-aab19fcc0b6d",2019-06-29
"57","023aefbe-9793-459f-80d9-3adff4eef1f4",2019-06-19
"58","0288da7c-2e65-4b30-afbd-da301c6f7290",2019-06-28
"59","054fe2fb-c833-4192-8431-aac60f51259b",2019-06-24
"60","02f18017-7509-4352-94be-386f34a76a12",2019-06-27
"61","0276875f-dc02-4304-b12b-e049608fdfb8",2019-06-30
"62","02c3d071-2362-4fd8-adb8-caf3e7cf74ed",2019-06-16
"63","03613408-1d68-44bd-af21-e452d940c83a",2019-06-22
"64","00f5bcd7-da60-484f-b073-59d7246a7c1b",2019-06-25
"65","0208222b-333a-4875-a19d-024d26a23974",2019-06-28
"66","02785d47-d3c0-41db-a0fa-7bb975fc8bea",2019-06-28
"67","0a9dfbcb-012d-4332-acc5-33f67a378ba2",2019-06-30
"68","0ad7157e-f2b9-48ea-bfa4-a2944867b073",2019-06-29
"69","02accc72-64fd-4755-a1b1-4a11de9aba41",2019-06-16
"70","02f13eb8-c6b7-4dbb-8e25-8e29ecb34c4d",2019-06-16
"71","01783fbe-1a6b-4d94-b45c-38079db38aa1",2019-06-26
"72","01f39bf8-53fd-4927-b7b3-83eb454addad",2019-06-17
"73","02cbced8-693a-4c83-afda-1672d8648b48",2019-06-22
"74","0349e756-ef04-4f46-ac20-2a98d45c7daa",2019-06-20
"75","0653f606-2e25-4c86-99f0-01984a2fc81a",2019-06-30
"76","06f9d7bf-265c-4c6f-87c7-d07ea304766e",2019-06-27
"77","06ff1fdb-c7ce-41fa-82e6-dc6f8c926147",2019-06-26
"78","07008850-21c6-4014-b0c4-7acc317d7da2",2019-06-28
"79","022a10c7-1ca7-452e-ab19-f7c6c087f226",2019-06-26
"80","022ca2ae-6bf7-498c-bab2-00ede6bb6672",2019-06-20
"81","0237d446-cfca-49d2-9702-ef37e92e6f8a",2019-06-28
"82","024de277-5c9b-47f2-b94a-735a5c128153",2019-06-25
"83","028f6234-3ef6-46c6-a382-f308b179e581",2019-06-26
"84","0219b317-6d4f-44b8-8510-899643b9ff36",2019-06-26
"85","043a58dc-585f-4b82-bb9c-fc83adde7f27",2019-06-28
"86","04ea9f9d-2661-4a73-8d39-845f527d4feb",2019-06-16
"87","03aa8267-208e-4a47-ad52-2251d3afaabf",2019-06-26
"88","03d687e7-a06b-4bfe-85a0-ca8a4329054a",2019-06-24
"89","031de936-c77c-47d8-8cb3-9f5d34573ace",2019-06-29
"90","034f5c43-7fb1-400b-a3b6-b53635356ad6",2019-06-25
"91","01b1fc89-353e-4941-b30a-fbe5d9cc64a5",2019-06-25
"92","018a7881-daf2-4e51-9eef-92d33fdcae5f",2019-06-17
"93","024430cd-a078-496d-a434-1e810f9ac1a7",2019-06-30
"94","06ccb2ab-931f-4047-b740-f7f4c854f342",2019-06-17
"95","051b7931-18a5-4254-9e03-7a0650447336",2019-06-18
"96","01beb2ee-b817-4bab-bd0c-2a0d289f0633",2019-06-25
"97","02eb3640-756a-4495-aec0-5a196f131dee",2019-06-22
"98","032a6adc-8799-4e67-953c-5cfd178d87b8",2019-06-27
"99","03497a37-046a-404c-b957-25990ea1ac4a",2019-06-27
"100","01ad42be-b305-4a45-b286-557eb915e23c",2019-06-24
